
METRICS:::	TS:0	NUM_POINTS:144	ALL_CLUSTERS:615	CLUSTERS_FILTERED:15	CLUSTERS_MERGED:4	AVG_GRID_COUNT:7.500000	
METRICS:::	TS:1	NUM_POINTS:144	ALL_CLUSTERS:378	CLUSTERS_FILTERED:9	CLUSTERS_MERGED:10	AVG_GRID_COUNT:7.166667	
METRICS:::	TS:2	NUM_POINTS:144	ALL_CLUSTERS:61	CLUSTERS_FILTERED:13	CLUSTERS_MERGED:11	AVG_GRID_COUNT:6.400000	
METRICS:::	TS:3	NUM_POINTS:144	ALL_CLUSTERS:43	CLUSTERS_FILTERED:9	CLUSTERS_MERGED:6	AVG_GRID_COUNT:6.000000	
METRICS:::	TS:4	NUM_POINTS:144	ALL_CLUSTERS:17	CLUSTERS_FILTERED:4	CLUSTERS_MERGED:3	AVG_GRID_COUNT:4.000000	
METRICS:::	TS:5	NUM_POINTS:144	ALL_CLUSTERS:2	CLUSTERS_FILTERED:7	CLUSTERS_MERGED:1	AVG_GRID_COUNT:7.000000	
METRICS:::	TS:6	NUM_POINTS:144	ALL_CLUSTERS:0	CLUSTERS_FILTERED:2	CLUSTERS_MERGED:0	AVG_GRID_COUNT:4.400000	
METRICS:::	TS:7	NUM_POINTS:144	ALL_CLUSTERS:0	CLUSTERS_FILTERED:10	CLUSTERS_MERGED:0	AVG_GRID_COUNT:4.250000	
METRICS:::	TS:8	NUM_POINTS:144	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:2.400000	
METRICS:::	TS:9	NUM_POINTS:144	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:2.500000	
METRICS:::	TS:10	NUM_POINTS:144	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.333333	
METRICS:::	TS:11	NUM_POINTS:144	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:12	NUM_POINTS:144	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:2.000000	
METRICS:::	TS:13	NUM_POINTS:144	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:14	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:15	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:16	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:17	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:18	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:19	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:20	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:2.333333	
METRICS:::	TS:21	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:22	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.500000	
METRICS:::	TS:23	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:24	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:25	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:26	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:27	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:28	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:29	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:30	NUM_POINTS:143	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:31	NUM_POINTS:142	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
