ID,X,Y,T
1,0.46,0.97,0
2,0.65,0.7,0
3,0.82,0.9,0
4,0.89,0.64,0
5,0.32,0.64,0
6,0.24,0.92,0
7,0.1,0.49,0
8,0.19,0.72,0
9,0.41,0.33,0
10,0.19,0.08,0
11,0.51,0.49,0
12,0.9,0.32,0
13,0.51,0.2,0
14,0.74,0.14,0
15,0.46,0.03,0
1,0.47,0.95,1
2,0.64,0.68,1
3,0.79,0.89,1
4,0.86,0.62,1
5,0.33,0.61,1
6,0.26,0.9,1
7,0.13,0.48,1
8,0.21,0.74,1
9,0.44,0.34,1
10,0.2,0.11,1
11,0.49,0.51,1
12,0.87,0.33,1
13,0.5,0.22,1
14,0.76,0.17,1
15,0.48,0.06,1
1,0.49,0.93,2
2,0.63,0.65,2
3,0.76,0.86,2
4,0.83,0.6,2
5,0.35,0.58,2
6,0.29,0.89,2
7,0.16,0.49,2
8,0.24,0.74,2
9,0.47,0.36,2
10,0.21,0.14,2
11,0.5,0.53,2
12,0.84,0.33,2
13,0.48,0.24,2
14,0.75,0.2,2
15,0.49,0.09,2
1,0.51,0.91,3
2,0.62,0.62,3
3,0.73,0.85,3
4,0.82,0.57,3
5,0.35,0.54,3
6,0.32,0.88,3
7,0.19,0.51,3
8,0.27,0.72,3
9,0.49,0.39,3
10,0.22,0.17,3
11,0.53,0.52,3
12,0.81,0.35,3
13,0.46,0.25,3
14,0.73,0.22,3
15,0.5,0.12,3
1,0.53,0.89,4
2,0.61,0.6,4
3,0.71,0.83,4
4,0.8,0.54,4
5,0.35,0.51,4
6,0.35,0.87,4
7,0.22,0.53,4
8,0.3,0.72,4
9,0.51,0.42,4
10,0.23,0.2,4
11,0.54,0.49,4
12,0.79,0.37,4
13,0.44,0.26,4
14,0.71,0.25,4
15,0.52,0.14,4
1,0.54,0.87,5
2,0.6,0.58,5
3,0.69,0.81,5
4,0.78,0.51,5
5,0.36,0.48,5
6,0.38,0.86,5
7,0.24,0.55,5
8,0.33,0.73,5
9,0.54,0.43,5
10,0.24,0.23,5
11,0.56,0.47,5
12,0.78,0.39,5
13,0.42,0.27,5
14,0.7,0.27,5
15,0.54,0.16,5
