Method,Stage,Stage2
MergeLast,Distance Join and filtering phase...,07.Merging and filtering phase
MergeLast,Dropping indices...,09.Dropping indices
MergeLast,Extracting locations...,05.Extracting locations
MergeLast,Extracting timestamps...,04.Extracting timestamps
MergeLast,Indexing intersected dataset...,08.Indexing intersection
MergeLast,Reading berlin0-10...,03.Reading dataset
MergeLast,Set of disks for current timestamp...,06.Getting maximal disks
MergeLast,Setting paramaters...,02.Setting parameters
MergeLast,Starting current session...,01.Starting session
SpatialJoin,At least mu...,08.Filtering mu
SpatialJoin,Distance Join phase with previous potential flocks...,07.Distance join
SpatialJoin,Dropping indices...,11.Dropping indices
SpatialJoin,Extracting locations...,05.Extracting locations
SpatialJoin,Extracting timestamps...,04.Extracting timestamps
SpatialJoin,Merge potential flocks U and disks C and adding to F...,10.Merging previous set
SpatialJoin,Reading berlin0-10...,03.Reading dataset
SpatialJoin,Set of disks for t_i...,06.Getting maximal disks
SpatialJoin,Setting paramaters...,02.Setting parameters
SpatialJoin,Starting current session...,01.Starting session
SpatialJoin,Update u.t_start. Shift the time...,09.Updating flocks
