Variant	epsilon	time
COLLECT	10	0.4773041225987481
EACH	10	0.49867256637168145
HASH_3	10	0.47795165119792793
HASH_4	10	0.47698035829915825
HASH_5	10	0.47881502266350096
HASH_6	10	0.47741204403194476
HASH_7	10	0.477627886898338
HASH_8	10	0.47913878696309087
COLLECT	12	0.768745952946255
EACH	12	0.8402978631556226
HASH_3	12	0.7693934815454349
HASH_4	12	0.7706885387437945
HASH_5	12	0.7726311245413339
HASH_6	12	0.7710123030433844
HASH_7	12	0.7692855601122383
HASH_8	12	0.771983595942154
COLLECT	14	0.91255115
EACH	14	1.0206885387437945
HASH_3	14	0.91543494
HASH_4	14	0.918853874379452
HASH_5	14	0.913112454133391
HASH_6	14	0.9230304338442
HASH_7	14	0.91011223827
HASH_8	14	0.9135959421541
COLLECT	16	1.49743146988992
EACH	16	1.5942369954672997
HASH_3	16	1.4584718325059356
HASH_4	16	1.461925318368228
HASH_5	16	1.473364990287071
HASH_6	16	1.4664580185624865
HASH_7	16	1.4637599827325707
HASH_8	16	1.4662421756960933
COLLECT	18	4.158899201
EACH	18	4.229973
HASH_3	18	4.09357
HASH_4	18	4.09357
HASH_5	18	4.0957
HASH_6	18	4.0859917
HASH_7	18	4.1059357
HASH_8	18	4.1159357
COLLECT	20	6.885387437945176
EACH	20	7.0269803582991575
HASH_3	20	6.766781782862076
HASH_4	20	6.7628966112669975
HASH_5	20	6.752859917979711
HASH_6	20	6.750053960716598
HASH_7	20	6.769156054392402
HASH_8	20	6.766565939995683
