coreId	host	taskId	launchTime	finishTime	duration
0	mr-01	4872	1594236394045	1594236394097	52
1	mr-01	4884	1594236394047	1594236394097	50
2	mr-01	4896	1594236394049	1594236394096	47
3	mr-01	4908	1594236394051	1594236394097	46
4	mr-01	4920	1594236394053	1594236394096	43
5	mr-01	4932	1594236394055	1594236394097	42
6	mr-01	4944	1594236394057	1594236394096	39
7	mr-01	4956	1594236394059	1594236394098	39
0	mr-01	4967	1594236394274	1594236394475	201
1	mr-01	4979	1594236394276	1594236394494	218
2	mr-01	4991	1594236394278	1594236394496	218
3	mr-01	5003	1594236394280	1594236394492	212
4	mr-01	5015	1594236394282	1594236394482	200
5	mr-01	5027	1594236394283	1594236394496	213
6	mr-01	5039	1594236394286	1594236394495	209
7	mr-01	5051	1594236394287	1594236394501	214
0	mr-01	5071	1594236394818	1594236395148	330
1	mr-01	5083	1594236394821	1594236395150	329
2	mr-01	5095	1594236394823	1594236395148	325
3	mr-01	5107	1594236394825	1594236395149	324
4	mr-01	5119	1594236394827	1594236395153	326
5	mr-01	5131	1594236394829	1594236395150	321
6	mr-01	5143	1594236394831	1594236395147	316
7	mr-01	5155	1594236394833	1594236395119	286
7	mr-01	5180	1594236395119	1594236395170	51
6	mr-01	5228	1594236395147	1594236395192	45
0	mr-01	5229	1594236395147	1594236395305	158
2	mr-01	5230	1594236395148	1594236395301	153
3	mr-01	5233	1594236395149	1594236395266	117
1	mr-01	5232	1594236395149	1594236395279	130
5	mr-01	5234	1594236395150	1594236395292	142
4	mr-01	5240	1594236395153	1594236395291	138
7	mr-01	5243	1594236395170	1594236395300	130
6	mr-01	5252	1594236395192	1594236395302	110
3	mr-01	5259	1594236395266	1594236395491	225
1	mr-01	5266	1594236395279	1594236395592	313
4	mr-01	5274	1594236395291	1594236395531	240
5	mr-01	5275	1594236395292	1594236395601	309
7	mr-01	5294	1594236395300	1594236395593	293
2	mr-01	5296	1594236395301	1594236395593	292
6	mr-01	5298	1594236395302	1594236395591	289
0	mr-01	5305	1594236395305	1594236395603	298
3	mr-01	5332	1594236395490	1594236395521	31
3	mr-01	5338	1594236395520	1594236395643	123
4	mr-01	5345	1594236395531	1594236395625	94
6	mr-01	5411	1594236395591	1594236395642	51
1	mr-01	5410	1594236395591	1594236395643	52
2	mr-01	5413	1594236395592	1594236395640	48
