partitionId	taskId	grid_id	wkt	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName
371	10473	371	POLYGON ((1982027.9931 561606.9989, 1982027.9931 561765.2197, 1982153.304 561765.2197, 1982153.304 561606.9989, 1982027.9931 561606.9989))	12		41	10473	1594667754676	1594667755706	1030	8	10	mr-01	0	false	0	true	1016	715	6	4	0	217	1011	0	0	0	0	0	0	0	0	2	32248	340	34	306	0	0	0	0624	Disks phase
618	10720	618	POLYGON ((1967366.6125 533918.3546, 1967366.6125 534234.7963, 1967617.2344 534234.7963, 1967617.2344 533918.3546, 1967366.6125 533918.3546))	12		41	10720	1594667755354	1594667755602	248	5	10	mr-01	0	false	0	true	238	22	5	4	0	0	967	0	0	0	0	0	0	0	0	209	3418	38	8	30	0	0	0	0624	Disks phase
154	10256	154	POLYGON ((1975386.513 559550.1282, 1975386.513 560183.0115, 1975887.7567 560183.0115, 1975887.7567 559550.1282, 1975386.513 559550.1282))	12		41	10256	1594667754196	1594667754434	238	4	10	mr-01	0	false	0	true	226	19	8	4	0	11	1010	0	0	0	0	0	0	0	0	190	4324	48	4	44	0	0	0	0624	Disks phase
495	10597	495	POLYGON ((1971877.8065 551322.6453, 1971877.8065 553854.1785, 1973882.7816 553854.1785, 1973882.7816 551322.6453, 1971877.8065 551322.6453))	12		41	10597	1594667754978	1594667755581	603	4	9	mr-10	0	false	0	true	594	43	5	4	0	224	1010	0	0	0	0	0	0	0	0	295	19764	216	22	194	0	0	0	0624	Disks phase
151	10253	151	POLYGON ((1974885.2692 560183.0115, 1974885.2692 561448.7781, 1975887.7567 561448.7781, 1975887.7567 560183.0115, 1974885.2692 560183.0115))	12		41	10253	1594667754195	1594667754504	309	4	3	mr-04	0	false	0	true	301	62	4	4	0	13	1010	0	0	0	0	0	0	0	0	214	18832	204	8	196	0	0	0	0624	Disks phase
134	10236	134	POLYGON ((1969872.8314 553854.1785, 1969872.8314 556385.7117, 1971877.8065 556385.7117, 1971877.8065 553854.1785, 1969872.8314 553854.1785))	12		41	10236	1594667754187	1594667754479	292	5	10	mr-01	0	false	0	true	282	78	5	3	0	11	1010	0	0	0	0	0	0	0	0	179	29462	318	24	294	0	0	0	0624	Disks phase
681	10783	681	POLYGON ((1973882.7816 536133.4462, 1973882.7816 536766.3295, 1974384.0254 536766.3295, 1974384.0254 536133.4462, 1973882.7816 536133.4462))	12		41	10783	1594667755598	1594667755971	373	5	4	mr-02	0	false	0	true	363	34	5	4	0	56	1010	0	0	0	0	0	0	0	0	267	10418	114	14	100	0	0	0	0624	Disks phase
33	10135	33	POLYGON ((1965862.8811 566511.8444, 1965862.8811 569043.3776, 1967867.8562 569043.3776, 1967867.8562 566511.8444, 1965862.8811 566511.8444))	12		41	10135	1594667753895	1594667754431	536	16	8	mr-03	0	false	0	true	441	81	79	7	0	205	1010	0	0	0	0	0	0	0	0	0	7024	78	8	70	0	0	0	0624	Disks phase
402	10504	402	POLYGON ((1986915.1199 553854.1785, 1986915.1199 555119.9451, 1987917.6075 555119.9451, 1987917.6075 553854.1785, 1986915.1199 553854.1785))	12		41	10504	1594667754700	1594667755136	436	6	6	mr-06	0	false	0	true	426	51	4	4	0	123	1010	0	0	0	0	0	0	0	0	235	4402	48	2	46	0	0	0	0624	Disks phase
570	10672	570	POLYGON ((1969559.554 542778.7208, 1969559.554 542857.8312, 1969622.2095 542857.8312, 1969622.2095 542778.7208, 1969559.554 542778.7208))	12		41	10672	1594667755316	1594667755798	482	4	7	mr-09	0	false	0	true	473	38	5	4	0	173	1010	0	0	0	0	0	0	0	0	232	6932	76	2	74	0	0	0	0624	Disks phase
