coreId	host	taskId	launchTime	finishTime	duration
0	mr-01	917	562	788	226
1	mr-01	928	566	789	223
2	mr-01	932	567	952	385
3	mr-01	943	569	791	222
4	mr-01	954	571	790	219
5	mr-01	965	574	796	222
6	mr-01	976	576	790	214
7	mr-01	987	578	962	384
0	mr-01	1013	788	854	66
1	mr-01	1015	789	833	44
4	mr-01	1017	790	832	42
6	mr-01	1016	790	832	42
3	mr-01	1018	791	856	65
5	mr-01	1028	795	950	155
4	mr-01	1057	830	984	154
6	mr-01	1058	831	976	145
1	mr-01	1060	833	963	130
0	mr-01	1074	854	1413	559
3	mr-01	1076	855	1416	561
5	mr-01	1106	950	1682	732
2	mr-01	1107	952	1417	465
7	mr-01	1108	961	1674	713
1	mr-01	1109	963	1391	428
6	mr-01	1110	976	1660	684
4	mr-01	1112	984	1421	437
1	mr-01	1175	1391	1659	268
0	mr-01	1198	1413	1677	264
3	mr-01	1202	1416	1681	265
2	mr-01	1204	1417	1678	261
4	mr-01	1210	1420	1678	258
1	mr-01	1315	1659	1704	45
6	mr-01	1316	1660	1713	53
7	mr-01	1324	1674	1699	25
0	mr-01	1329	1676	2255	579
2	mr-01	1331	1677	2073	396
4	mr-01	1332	1678	2256	578
3	mr-01	1337	1680	2074	394
5	mr-01	1339	1681	2250	569
7	mr-01	1352	1699	2074	375
1	mr-01	1355	1703	2070	367
6	mr-01	1366	1712	2266	554
1	mr-01	1396	2069	2490	421
2	mr-01	1398	2070	2476	406
3	mr-01	1397	2070	2486	416
7	mr-01	1399	2071	2482	411
5	mr-01	1489	2250	2487	237
0	mr-01	1492	2255	2495	240
4	mr-01	1491	2255	2495	240
6	mr-01	1495	2266	2473	207
6	mr-01	1548	2473	2538	65
2	mr-01	1551	2476	2538	62
7	mr-01	1556	2482	2530	48
3	mr-01	1560	2484	2559	75
5	mr-01	1564	2488	2528	40
1	mr-01	1567	2490	2529	39
0	mr-01	1574	2495	2646	151
4	mr-01	1575	2496	2529	33
5	mr-01	1623	2524	2631	107
1	mr-01	1626	2526	2647	121
4	mr-01	1627	2526	2647	121
7	mr-01	1628	2527	2646	119
2	mr-01	1638	2534	2646	112
6	mr-01	1639	2535	2651	116
3	mr-01	1675	2558	2674	116
5	mr-01	1679	2631	2709	78
0	mr-01	1699	2645	2704	59
2	mr-01	1700	2645	2704	59
7	mr-01	1701	2646	2708	62
1	mr-01	1702	2647	2712	65
4	mr-01	1703	2647	2712	65
6	mr-01	1710	2650	2709	59
3	mr-01	1731	2674	2751	77
0	mr-01	1756	2703	2739	36
2	mr-01	1757	2704	2729	25
7	mr-01	1760	2708	2735	27
5	mr-01	1762	2709	2738	29
6	mr-01	1761	2709	2740	31
1	mr-01	1766	2711	2742	31
4	mr-01	1767	2712	2752	40
2	mr-01	1782	2728	2774	46
7	mr-01	1790	2734	2761	27
5	mr-01	1795	2737	2779	42
0	mr-01	1799	2739	2773	34
6	mr-01	1800	2740	2764	24
1	mr-01	1802	2741	2763	22
0	mr-02	921	563	776	213
1	mr-02	936	567	785	218
2	mr-02	947	570	781	211
3	mr-02	958	572	1208	636
4	mr-02	969	574	800	226
5	mr-02	980	577	774	197
6	mr-02	991	579	1205	626
7	mr-02	998	581	1218	637
5	mr-02	1007	774	1207	433
0	mr-02	1009	775	1207	432
2	mr-02	1011	781	825	44
1	mr-02	1012	785	829	44
4	mr-02	1030	799	1208	409
2	mr-02	1049	825	1385	560
1	mr-02	1054	828	1384	556
6	mr-02	1134	1205	1382	177
0	mr-02	1135	1206	1383	177
5	mr-02	1136	1207	1657	450
3	mr-02	1137	1208	1658	450
4	mr-02	1138	1208	1649	441
7	mr-02	1140	1218	1387	169
6	mr-02	1164	1382	1683	301
0	mr-02	1165	1383	1676	293
1	mr-02	1166	1384	1654	270
2	mr-02	1167	1384	1673	289
7	mr-02	1172	1387	1675	288
4	mr-02	1306	1647	1683	36
1	mr-02	1310	1654	1700	46
5	mr-02	1313	1657	1693	36
3	mr-02	1314	1658	1704	46
2	mr-02	1322	1673	2077	404
7	mr-02	1325	1674	2075	401
0	mr-02	1327	1675	2078	403
4	mr-02	1341	1682	2291	609
6	mr-02	1342	1683	2078	395
5	mr-02	1349	1693	2269	576
1	mr-02	1353	1699	2269	570
3	mr-02	1356	1704	2270	566
7	mr-02	1404	2075	2515	440
2	mr-02	1407	2077	2475	398
0	mr-02	1408	2077	2493	416
6	mr-02	1409	2078	2489	411
1	mr-02	1498	2268	2512	244
5	mr-02	1500	2269	2538	269
3	mr-02	1499	2269	2515	246
4	mr-02	1503	2290	2513	223
2	mr-02	1550	2475	2554	79
6	mr-02	1566	2489	2549	60
0	mr-02	1571	2493	2540	47
1	mr-02	1601	2512	2639	127
4	mr-02	1604	2513	2651	138
3	mr-02	1608	2515	2547	32
7	mr-02	1607	2515	2550	35
5	mr-02	1644	2536	2659	123
0	mr-02	1643	2536	2643	107
3	mr-02	1659	2546	2817	271
6	mr-02	1663	2549	2654	105
7	mr-02	1665	2550	2653	103
2	mr-02	1670	2554	2842	288
1	mr-02	1689	2639	2842	203
0	mr-02	1693	2642	2846	204
4	mr-02	1711	2651	2837	186
7	mr-02	1716	2653	2837	184
6	mr-02	1719	2654	2843	189
5	mr-02	1728	2659	2873	214
0	mr-03	916	561	814	253
1	mr-03	927	565	817	252
2	mr-03	931	566	1149	583
3	mr-03	942	569	813	244
4	mr-03	953	571	814	243
5	mr-03	964	573	1150	577
6	mr-03	975	576	1151	575
7	mr-03	986	578	815	237
3	mr-03	1039	813	875	62
0	mr-03	1040	814	1212	398
4	mr-03	1041	814	1152	338
7	mr-03	1042	815	1151	336
1	mr-03	1043	817	1167	350
3	mr-03	1085	875	1710	835
2	mr-03	1125	1149	1404	255
5	mr-03	1127	1150	1447	297
6	mr-03	1126	1150	1706	556
7	mr-03	1128	1151	1701	550
4	mr-03	1129	1152	1473	321
1	mr-03	1131	1167	1407	240
0	mr-03	1139	1212	1381	169
0	mr-03	1163	1381	1712	331
2	mr-03	1190	1404	1709	305
1	mr-03	1193	1407	1706	299
5	mr-03	1234	1447	2327	880
4	mr-03	1259	1473	2281	808
7	mr-03	1354	1701	2074	373
1	mr-03	1358	1706	2260	554
6	mr-03	1357	1706	2261	555
2	mr-03	1360	1709	2074	365
3	mr-03	1362	1710	2267	557
0	mr-03	1365	1712	2102	390
2	mr-03	1401	2072	2277	205
7	mr-03	1402	2072	2267	195
0	mr-03	1431	2102	2513	411
1	mr-03	1494	2260	2494	234
6	mr-03	1493	2260	2494	234
3	mr-03	1496	2266	2484	218
7	mr-03	1497	2267	2537	270
2	mr-03	1501	2277	2541	264
4	mr-03	1502	2280	2478	198
5	mr-03	1508	2326	2537	211
4	mr-03	1552	2478	2533	55
3	mr-03	1559	2483	2543	60
1	mr-03	1572	2493	2549	56
6	mr-03	1573	2494	2548	54
0	mr-03	1603	2513	2545	32
4	mr-03	1634	2533	2814	281
5	mr-03	1635	2533	2821	288
7	mr-03	1636	2534	2813	279
2	mr-03	1649	2541	2815	274
3	mr-03	1654	2543	2829	286
0	mr-03	1656	2544	2821	277
6	mr-03	1660	2547	2829	282
1	mr-03	1662	2548	2822	274
0	mr-04	922	563	793	230
1	mr-04	937	568	865	297
2	mr-04	948	570	794	224
3	mr-04	959	572	792	220
4	mr-04	970	575	1086	511
5	mr-04	981	577	1089	512
6	mr-04	992	579	791	212
7	mr-04	999	581	1096	515
6	mr-04	1019	791	1092	301
3	mr-04	1020	792	1093	301
0	mr-04	1021	792	1093	301
2	mr-04	1023	793	1092	299
1	mr-04	1078	865	1603	738
4	mr-04	1118	1086	1601	515
5	mr-04	1119	1089	1374	285
2	mr-04	1120	1091	1371	280
6	mr-04	1121	1092	1603	511
0	mr-04	1123	1093	1604	511
3	mr-04	1122	1093	1605	512
7	mr-04	1124	1096	1395	299
2	mr-04	1155	1371	1681	310
5	mr-04	1156	1374	1682	308
7	mr-04	1183	1395	1620	225
4	mr-04	1284	1600	2418	818
1	mr-04	1285	1602	1954	352
6	mr-04	1286	1603	1674	71
0	mr-04	1287	1604	1689	85
3	mr-04	1289	1605	1689	84
7	mr-04	1293	1620	1711	91
6	mr-04	1323	1673	2430	757
2	mr-04	1338	1681	2436	755
5	mr-04	1340	1682	2418	736
0	mr-04	1348	1689	2422	733
3	mr-04	1347	1689	2431	742
7	mr-04	1364	1711	2426	715
1	mr-04	1384	1953	2428	475
4	mr-04	1518	2417	2503	86
5	mr-04	1519	2418	2500	82
0	mr-04	1520	2421	2503	82
7	mr-04	1521	2426	2502	76
1	mr-04	1522	2428	2509	81
6	mr-04	1525	2430	2478	48
3	mr-04	1524	2430	2492	62
2	mr-04	1527	2436	2484	48
6	mr-04	1553	2478	2522	44
2	mr-04	1558	2483	2516	33
3	mr-04	1570	2492	2544	52
5	mr-04	1581	2500	2540	40
7	mr-04	1583	2502	2542	40
0	mr-04	1585	2503	2553	50
4	mr-04	1586	2503	2636	133
1	mr-04	1593	2508	2552	44
2	mr-04	1610	2516	2637	121
6	mr-04	1620	2522	2553	31
5	mr-04	1648	2540	2852	312
7	mr-04	1651	2542	2860	318
3	mr-04	1655	2544	2863	319
1	mr-04	1667	2552	2865	313
0	mr-04	1668	2552	2877	325
6	mr-04	1669	2553	2879	326
4	mr-04	1684	2636	2883	247
2	mr-04	1685	2636	2886	250
0	mr-05	915	561	797	236
1	mr-05	926	565	794	229
2	mr-05	930	566	834	268
3	mr-05	941	568	835	267
4	mr-05	952	571	836	265
5	mr-05	963	573	793	220
6	mr-05	974	576	797	221
7	mr-05	985	578	835	257
5	mr-05	1022	793	859	66
1	mr-05	1024	794	890	96
0	mr-05	1027	795	910	115
6	mr-05	1026	795	867	72
2	mr-05	1061	833	1511	678
3	mr-05	1062	834	1751	917
7	mr-05	1063	835	1511	676
4	mr-05	1064	836	1751	915
5	mr-05	1077	859	1507	648
6	mr-05	1080	867	1836	969
1	mr-05	1086	889	1744	855
0	mr-05	1092	909	1513	604
5	mr-05	1270	1506	2302	796
2	mr-05	1271	1511	2521	1010
7	mr-05	1272	1511	3060	1549
0	mr-05	1273	1513	2406	893
1	mr-05	1369	1744	2304	560
3	mr-05	1370	1750	2320	570
4	mr-05	1371	1751	2069	318
6	mr-05	1373	1836	2313	477
4	mr-05	1395	2069	2473	404
5	mr-05	1504	2302	2524	222
1	mr-05	1505	2304	2523	219
6	mr-05	1506	2312	2529	217
3	mr-05	1507	2320	2474	154
0	mr-05	1517	2406	2519	113
4	mr-05	1547	2473	2543	70
3	mr-05	1549	2474	2538	64
0	mr-05	1614	2518	2965	447
2	mr-05	1618	2521	2556	35
1	mr-05	1621	2523	2964	441
5	mr-05	1622	2524	2557	33
6	mr-05	1625	2525	2558	33
3	mr-05	1637	2534	2973	439
4	mr-05	1652	2542	3000	458
2	mr-05	1671	2555	2982	427
5	mr-05	1673	2557	3001	444
6	mr-05	1674	2558	3002	444
0	mr-06	920	563	797	234
1	mr-06	935	567	804	237
2	mr-06	946	569	896	327
3	mr-06	957	572	843	271
4	mr-06	968	574	893	319
5	mr-06	979	577	853	276
6	mr-06	990	579	925	346
7	mr-06	997	580	894	314
0	mr-06	1029	796	929	133
1	mr-06	1033	804	1468	664
3	mr-06	1067	843	1464	621
5	mr-06	1073	853	1679	826
4	mr-06	1089	893	1687	794
7	mr-06	1088	893	1468	575
2	mr-06	1090	896	1473	577
6	mr-06	1098	925	1469	544
0	mr-06	1100	928	1470	542
3	mr-06	1245	1463	2246	783
1	mr-06	1250	1468	2196	728
7	mr-06	1249	1468	2360	892
6	mr-06	1251	1469	2458	989
0	mr-06	1253	1470	1710	240
2	mr-06	1258	1472	2380	908
5	mr-06	1333	1678	2152	474
4	mr-06	1345	1686	2163	477
0	mr-06	1361	1709	2169	460
5	mr-06	1456	2152	2180	28
4	mr-06	1459	2163	2225	62
0	mr-06	1465	2169	2232	63
5	mr-06	1470	2180	2228	48
1	mr-06	1477	2196	2704	508
4	mr-06	1484	2225	2700	475
5	mr-06	1486	2228	2695	467
0	mr-06	1487	2232	2680	448
3	mr-06	1488	2246	2694	448
7	mr-06	1514	2360	2689	329
2	mr-06	1515	2380	2691	311
6	mr-06	1532	2458	2703	245
0	mr-06	1734	2680	2707	27
7	mr-06	1743	2689	2720	31
2	mr-06	1745	2691	2727	36
3	mr-06	1746	2694	2735	41
5	mr-06	1747	2695	2746	51
4	mr-06	1752	2700	2733	33
6	mr-06	1754	2702	2737	35
1	mr-06	1755	2703	2753	50
0	mr-06	1759	2707	2738	31
7	mr-06	1772	2719	2999	280
2	mr-06	1780	2727	2998	271
4	mr-06	1787	2732	2994	262
3	mr-06	1791	2735	3003	268
6	mr-06	1794	2737	3003	266
0	mr-06	1797	2738	3003	265
5	mr-06	1804	2746	3012	266
0	mr-07	923	564	822	258
1	mr-07	938	568	1010	442
2	mr-07	949	570	913	343
3	mr-07	960	573	822	249
4	mr-07	971	575	1002	427
5	mr-07	982	577	825	248
6	mr-07	993	580	824	244
7	mr-07	1000	581	855	274
0	mr-07	1045	821	980	159
3	mr-07	1046	822	912	90
6	mr-07	1047	823	935	112
5	mr-07	1048	824	890	66
7	mr-07	1075	855	1471	616
5	mr-07	1087	890	1522	632
3	mr-07	1093	912	1405	493
2	mr-07	1094	912	1433	521
6	mr-07	1102	935	1393	458
0	mr-07	1111	979	1462	483
4	mr-07	1113	1002	1411	409
1	mr-07	1114	1009	1405	396
6	mr-07	1179	1393	1522	129
1	mr-07	1191	1405	1534	129
3	mr-07	1192	1405	1534	129
4	mr-07	1196	1410	1535	125
2	mr-07	1222	1433	1542	109
0	mr-07	1244	1462	1743	281
7	mr-07	1256	1471	1787	316
5	mr-07	1274	1521	1972	451
6	mr-07	1275	1522	2650	1128
1	mr-07	1276	1533	2648	1115
3	mr-07	1277	1534	1723	189
4	mr-07	1278	1535	2004	469
2	mr-07	1279	1542	1672	130
2	mr-07	1320	1671	1711	40
2	mr-07	1363	1710	2648	938
3	mr-07	1367	1723	2637	914
0	mr-07	1368	1742	2649	907
7	mr-07	1372	1787	2650	863
5	mr-07	1385	1971	2649	678
4	mr-07	1387	2004	2652	648
3	mr-07	1686	2637	2683	46
1	mr-07	1706	2648	2696	48
2	mr-07	1705	2648	2686	38
0	mr-07	1704	2648	2686	38
5	mr-07	1708	2649	2681	32
6	mr-07	1707	2649	2700	51
7	mr-07	1709	2650	2698	48
4	mr-07	1712	2651	2682	31
5	mr-07	1735	2681	2723	42
4	mr-07	1736	2682	2719	37
3	mr-07	1738	2683	2723	40
0	mr-07	1740	2685	2713	28
2	mr-07	1741	2686	2711	25
1	mr-07	1749	2696	2724	28
7	mr-07	1751	2697	2729	32
6	mr-07	1753	2700	2737	37
2	mr-07	1765	2711	2988	277
0	mr-07	1768	2712	2740	28
4	mr-07	1771	2719	2985	266
3	mr-07	1775	2723	2988	265
5	mr-07	1774	2723	2990	267
1	mr-07	1776	2724	2998	274
7	mr-07	1783	2729	2988	259
6	mr-07	1793	2736	3024	288
0	mr-07	1801	2740	2993	253
0	mr-08	905	0	70	70
0	mr-08	906	183	475	292
0	mr-08	907	555	837	282
1	mr-08	910	559	1360	801
2	mr-08	909	559	748	189
3	mr-08	908	559	748	189
4	mr-08	912	560	827	267
5	mr-08	911	560	832	272
6	mr-08	913	560	1360	800
7	mr-08	914	561	827	266
2	mr-08	1003	746	1358	612
3	mr-08	1004	747	1359	612
4	mr-08	1051	826	1361	535
7	mr-08	1052	827	1362	535
5	mr-08	1056	830	1370	540
0	mr-08	1065	837	1355	518
0	mr-08	1142	1355	1378	23
2	mr-08	1143	1358	1388	30
3	mr-08	1145	1359	1380	21
1	mr-08	1144	1359	1386	27
6	mr-08	1146	1360	1377	17
4	mr-08	1147	1360	1385	25
7	mr-08	1149	1362	1396	34
5	mr-08	1154	1369	1395	26
6	mr-08	1158	1377	1395	18
0	mr-08	1159	1378	1414	36
