coreId	host	taskId	launchTime	finishTime	duration
0	mr-01	22051	1594407182762	1594407182799	37
1	mr-01	22063	1594407182764	1594407182801	37
2	mr-01	22075	1594407182766	1594407182801	35
3	mr-01	22087	1594407182767	1594407182800	33
4	mr-01	22099	1594407182769	1594407182800	31
5	mr-01	22111	1594407182771	1594407182799	28
6	mr-01	22123	1594407182772	1594407182807	35
7	mr-01	22135	1594407182774	1594407182799	25
0	mr-01	22142	1594407182798	1594407182820	22
5	mr-01	22143	1594407182799	1594407182823	24
7	mr-01	22144	1594407182799	1594407182821	22
3	mr-01	22145	1594407182800	1594407182822	22
4	mr-01	22146	1594407182800	1594407182825	25
1	mr-01	22147	1594407182800	1594407182825	25
2	mr-01	22150	1594407182801	1594407182829	28
6	mr-01	22148	1594407182801	1594407182826	25
0	mr-01	22191	1594407182820	1594407182852	32
7	mr-01	22194	1594407182821	1594407182853	32
3	mr-01	22197	1594407182822	1594407182854	32
5	mr-01	22200	1594407182823	1594407182855	32
1	mr-01	22203	1594407182824	1594407182856	32
4	mr-01	22204	1594407182825	1594407182856	31
6	mr-01	22206	1594407182826	1594407182856	30
2	mr-01	22214	1594407182829	1594407182859	30
0	mr-01	22287	1594407182852	1594407182880	28
7	mr-01	22290	1594407182853	1594407182881	28
3	mr-01	22293	1594407182854	1594407182882	28
5	mr-01	22295	1594407182855	1594407182882	27
1	mr-01	22299	1594407182856	1594407182883	27
4	mr-01	22298	1594407182856	1594407182884	28
6	mr-01	22300	1594407182856	1594407182884	28
2	mr-01	22310	1594407182859	1594407182886	27
0	mr-01	22381	1594407182880	1594407182907	27
7	mr-01	22386	1594407182881	1594407182908	27
3	mr-01	22390	1594407182882	1594407182909	27
5	mr-01	22389	1594407182882	1594407182909	27
1	mr-01	22393	1594407182883	1594407182910	27
4	mr-01	22395	1594407182884	1594407182911	27
6	mr-01	22396	1594407182884	1594407182911	27
2	mr-01	22404	1594407182886	1594407182913	27
0	mr-01	22480	1594407182907	1594407182938	31
7	mr-01	22478	1594407182907	1594407182938	31
3	mr-01	22485	1594407182909	1594407182939	30
5	mr-01	22486	1594407182909	1594407182939	30
1	mr-01	22489	1594407182910	1594407182941	31
4	mr-01	22491	1594407182911	1594407182939	28
6	mr-01	22492	1594407182911	1594407182940	29
2	mr-01	22498	1594407182913	1594407182941	28
0	mr-01	22583	1594407182938	1594407182967	29
7	mr-01	22584	1594407182938	1594407182967	29
3	mr-01	22587	1594407182939	1594407182967	28
4	mr-01	22586	1594407182939	1594407182968	29
5	mr-01	22588	1594407182939	1594407182968	29
6	mr-01	22590	1594407182940	1594407182968	28
1	mr-01	22592	1594407182940	1594407182969	29
2	mr-01	22594	1594407182941	1594407182969	28
0	mr-01	22679	1594407182966	1594407182994	28
3	mr-01	22680	1594407182967	1594407182994	27
7	mr-01	22682	1594407182967	1594407182995	28
4	mr-01	22683	1594407182967	1594407182996	29
5	mr-01	22684	1594407182968	1594407182995	27
6	mr-01	22686	1594407182968	1594407182996	28
1	mr-01	22687	1594407182969	1594407182997	28
2	mr-01	22689	1594407182969	1594407182997	28
0	mr-01	22774	1594407182994	1594407183024	30
3	mr-01	22776	1594407182994	1594407183025	31
5	mr-01	22779	1594407182995	1594407183025	30
7	mr-01	22778	1594407182995	1594407183026	31
4	mr-01	22780	1594407182995	1594407183026	31
6	mr-01	22783	1594407182996	1594407183027	31
1	mr-01	22784	1594407182997	1594407183027	30
2	mr-01	22785	1594407182997	1594407183028	31
0	mr-01	22870	1594407183023	1594407183052	29
3	mr-01	22873	1594407183024	1594407183055	31
5	mr-01	22874	1594407183025	1594407183055	30
4	mr-01	22877	1594407183026	1594407183055	29
7	mr-01	22879	1594407183026	1594407183055	29
1	mr-01	22878	1594407183026	1594407183057	31
0	mr-01	23072	1594407183273	1594407183356	83
1	mr-01	23084	1594407183275	1594407183355	80
2	mr-01	23096	1594407183277	1594407183349	72
3	mr-01	23108	1594407183278	1594407183355	77
4	mr-01	23120	1594407183280	1594407183338	58
5	mr-01	23132	1594407183281	1594407183355	74
6	mr-01	23144	1594407183283	1594407183354	71
7	mr-01	23156	1594407183284	1594407183332	48
7	mr-01	23177	1594407183332	1594407183359	27
4	mr-01	23194	1594407183338	1594407183368	30
2	mr-01	23222	1594407183348	1594407183374	26
6	mr-01	23239	1594407183354	1594407183385	31
1	mr-01	23244	1594407183355	1594407183385	30
3	mr-01	23245	1594407183355	1594407183385	30
5	mr-01	23243	1594407183355	1594407183383	28
0	mr-01	23246	1594407183356	1594407183395	39
7	mr-01	23249	1594407183359	1594407183386	27
4	mr-01	23273	1594407183365	1594407183396	31
2	mr-01	23291	1594407183374	1594407183402	28
5	mr-01	23307	1594407183383	1594407183411	28
1	mr-01	23311	1594407183384	1594407183414	30
3	mr-01	23312	1594407183384	1594407183409	25
6	mr-01	23314	1594407183385	1594407183410	25
7	mr-01	23316	1594407183386	1594407183433	47
0	mr-01	23344	1594407183394	1594407183432	38
4	mr-01	23343	1594407183394	1594407183426	32
2	mr-01	23366	1594407183400	1594407183431	31
3	mr-01	23373	1594407183409	1594407183436	27
6	mr-01	23377	1594407183410	1594407183435	25
5	mr-01	23375	1594407183410	1594407183435	25
1	mr-01	23390	1594407183414	1594407183440	26
4	mr-01	23427	1594407183424	1594407183452	28
2	mr-01	23443	1594407183430	1594407183481	51
0	mr-01	23448	1594407183432	1594407183473	41
7	mr-01	23450	1594407183433	1594407183472	39
5	mr-01	23456	1594407183435	1594407183472	37
6	mr-01	23457	1594407183435	1594407183472	37
3	mr-01	23458	1594407183436	1594407183471	35
1	mr-01	23464	1594407183440	1594407183473	33
4	mr-01	23501	1594407183452	1594407183482	30
3	mr-01	23536	1594407183461	1594407183495	34
5	mr-01	23538	1594407183463	1594407183497	34
6	mr-01	23539	1594407183463	1594407183497	34
7	mr-01	23540	1594407183463	1594407183637	174
0	mr-01	23545	1594407183465	1594407183496	31
1	mr-01	23547	1594407183466	1594407183638	172
2	mr-01	23569	1594407183479	1594407183639	160
4	mr-01	23574	1594407183481	1594407183640	159
3	mr-01	23607	1594407183490	1594407183640	150
0	mr-01	23608	1594407183491	1594407183641	150
5	mr-01	23612	1594407183492	1594407183641	149
6	mr-01	23616	1594407183496	1594407183641	145
7	mr-01	23752	1594407183637	1594407183701	64
1	mr-01	23755	1594407183638	1594407183675	37
2	mr-01	23757	1594407183639	1594407183700	61
3	mr-01	23759	1594407183639	1594407183670	31
4	mr-01	23761	1594407183640	1594407183703	63
0	mr-01	23760	1594407183640	1594407183671	31
5	mr-01	23762	1594407183641	1594407183700	59
6	mr-01	23763	1594407183641	1594407183702	61
3	mr-01	23838	1594407183669	1594407183706	37
0	mr-01	23839	1594407183671	1594407183776	105
1	mr-01	23847	1594407183674	1594407183777	103
2	mr-01	23880	1594407183700	1594407183785	85
5	mr-01	23881	1594407183700	1594407183780	80
7	mr-01	23882	1594407183701	1594407183784	83
6	mr-01	23885	1594407183702	1594407183784	82
4	mr-01	23887	1594407183702	1594407183781	79
3	mr-01	23899	1594407183706	1594407183786	80
0	mr-01	23971	1594407183776	1594407183823	47
1	mr-01	23972	1594407183777	1594407183808	31
5	mr-01	23973	1594407183780	1594407183825	45
4	mr-01	23974	1594407183780	1594407183804	24
6	mr-01	23975	1594407183783	1594407183820	37
7	mr-01	23976	1594407183784	1594407183824	40
2	mr-01	23977	1594407183785	1594407183821	36
3	mr-01	23978	1594407183786	1594407183821	35
4	mr-01	23984	1594407183804	1594407183829	25
0	mr-01	24096	1594407184431	1594407184711	280
1	mr-01	24108	1594407184433	1594407184721	288
2	mr-01	24120	1594407184436	1594407184721	285
3	mr-01	24132	1594407184437	1594407184722	285
4	mr-01	24144	1594407184439	1594407184728	289
5	mr-01	24156	1594407184441	1594407184711	270
6	mr-01	24168	1594407184443	1594407184712	269
7	mr-01	24180	1594407184445	1594407184720	275
0	mr-01	24218	1594407184710	1594407184764	54
5	mr-01	24219	1594407184711	1594407184746	35
6	mr-01	24220	1594407184711	1594407184755	44
7	mr-01	24238	1594407184720	1594407184753	33
1	mr-01	24237	1594407184720	1594407184753	33
2	mr-01	24239	1594407184721	1594407184776	55
3	mr-01	24240	1594407184721	1594407184755	34
4	mr-01	24244	1594407184728	1594407184789	61
5	mr-01	24281	1594407184746	1594407184774	28
1	mr-01	24294	1594407184752	1594407184939	187
7	mr-01	24295	1594407184753	1594407184935	182
3	mr-01	24298	1594407184754	1594407184936	182
6	mr-01	24299	1594407184755	1594407184923	168
0	mr-01	24320	1594407184764	1594407184938	174
5	mr-01	24336	1594407184774	1594407184933	159
2	mr-01	24339	1594407184776	1594407184926	150
4	mr-01	24358	1594407184789	1594407184932	143
6	mr-01	24403	1594407184923	1594407185203	280
2	mr-01	24406	1594407184926	1594407185149	223
4	mr-01	24411	1594407184931	1594407185202	271
5	mr-01	24412	1594407184933	1594407185148	215
7	mr-01	24414	1594407184935	1594407185202	267
3	mr-01	24417	1594407184936	1594407185203	267
0	mr-01	24418	1594407184937	1594407185202	265
1	mr-01	24419	1594407184938	1594407185214	276
5	mr-01	24517	1594407185147	1594407185188	41
2	mr-01	24520	1594407185148	1594407185192	44
5	mr-01	24531	1594407185188	1594407185234	46
2	mr-01	24532	1594407185192	1594407185234	42
0	mr-01	24553	1594407185202	1594407185397	195
4	mr-01	24554	1594407185202	1594407185403	201
7	mr-01	24552	1594407185202	1594407185230	28
3	mr-01	24555	1594407185202	1594407185232	30
6	mr-01	24556	1594407185203	1594407185393	190
1	mr-01	24583	1594407185213	1594407185393	180
7	mr-01	24604	1594407185229	1594407185404	175
3	mr-01	24610	1594407185232	1594407185258	26
2	mr-01	24614	1594407185234	1594407185404	170
5	mr-01	24615	1594407185234	1594407185391	157
3	mr-01	24637	1594407185258	1594407185288	30
3	mr-01	24657	1594407185288	1594407185428	140
5	mr-01	24677	1594407185390	1594407185430	40
1	mr-01	24681	1594407185392	1594407185553	161
6	mr-01	24680	1594407185392	1594407185559	167
0	mr-01	24687	1594407185396	1594407185560	164
4	mr-01	24696	1594407185400	1594407185563	163
2	mr-01	24699	1594407185400	1594407185587	187
7	mr-01	24703	1594407185402	1594407185560	158
3	mr-01	24737	1594407185428	1594407185770	342
5	mr-01	24742	1594407185430	1594407185830	400
1	mr-01	24897	1594407185553	1594407185836	283
6	mr-01	24907	1594407185558	1594407185770	212
0	mr-01	24909	1594407185559	1594407185830	271
7	mr-01	24908	1594407185559	1594407185854	295
4	mr-01	24918	1594407185563	1594407185591	28
2	mr-01	24955	1594407185587	1594407185836	249
4	mr-01	24961	1594407185591	1594407185839	248
3	mr-01	24970	1594407185769	1594407185865	96
6	mr-01	24971	1594407185770	1594407185817	47
6	mr-01	25009	1594407185817	1594407186033	216
0	mr-01	25013	1594407185829	1594407186046	217
5	mr-01	25014	1594407185830	1594407186049	219
1	mr-01	25022	1594407185836	1594407185893	57
2	mr-01	25021	1594407185836	1594407186044	208
4	mr-01	25025	1594407185838	1594407185895	57
7	mr-01	25059	1594407185853	1594407186047	194
3	mr-01	25089	1594407185865	1594407186049	184
1	mr-01	25116	1594407185893	1594407185918	25
4	mr-01	25119	1594407185894	1594407186025	131
1	mr-01	25131	1594407185918	1594407186032	114
4	mr-01	25166	1594407186025	1594407186282	257
1	mr-01	25178	1594407186032	1594407186297	265
6	mr-01	25179	1594407186033	1594407186300	267
2	mr-01	25204	1594407186044	1594407186303	259
0	mr-01	25210	1594407186046	1594407186073	27
7	mr-01	25212	1594407186047	1594407186293	246
3	mr-01	25217	1594407186048	1594407186293	245
5	mr-01	25218	1594407186049	1594407186301	252
0	mr-01	25232	1594407186073	1594407186245	172
0	mr-01	25251	1594407186245	1594407186294	49
4	mr-01	25267	1594407186282	1594407186308	26
3	mr-01	25284	1594407186292	1594407186451	159
7	mr-01	25286	1594407186293	1594407186339	46
0	mr-01	25288	1594407186294	1594407186330	36
1	mr-01	25296	1594407186297	1594407186470	173
6	mr-01	25304	1594407186300	1594407186476	176
5	mr-01	25307	1594407186301	1594407186456	155
2	mr-01	25315	1594407186303	1594407186331	28
4	mr-01	25331	1594407186308	1594407186342	34
0	mr-01	25362	1594407186329	1594407186354	25
2	mr-01	25366	1594407186331	1594407186480	149
7	mr-01	25379	1594407186339	1594407186362	23
4	mr-01	25382	1594407186341	1594407186386	45
0	mr-01	25392	1594407186354	1594407186477	123
7	mr-01	25396	1594407186362	1594407186454	92
4	mr-01	25414	1594407186386	1594407186481	95
3	mr-01	25424	1594407186450	1594407186878	428
7	mr-01	25429	1594407186452	1594407186879	427
5	mr-01	25435	1594407186456	1594407186879	423
1	mr-01	25473	1594407186470	1594407186522	52
6	mr-01	25494	1594407186476	1594407186880	404
0	mr-01	25496	1594407186477	1594407186522	45
2	mr-01	25508	1594407186480	1594407186521	41
4	mr-01	25509	1594407186480	1594407186673	193
2	mr-01	25553	1594407186521	1594407186890	369
0	mr-01	25555	1594407186522	1594407186549	27
1	mr-01	25554	1594407186522	1594407186877	355
0	mr-01	25574	1594407186549	1594407186574	25
0	mr-01	25584	1594407186574	1594407186878	304
4	mr-01	25598	1594407186671	1594407186955	284
1	mr-01	25702	1594407186876	1594407188650	1774
0	mr-01	25705	1594407186877	1594407189467	2590
3	mr-01	25707	1594407186878	1594407188692	1814
5	mr-01	25706	1594407186878	1594407189590	2712
7	mr-01	25708	1594407186879	1594407189410	2531
6	mr-01	25710	1594407186880	1594407189141	2261
2	mr-01	25717	1594407186889	1594407189173	2284
4	mr-01	25733	1594407186954	1594407188593	1639
4	mr-01	25904	1594407188592	1594407189011	419
1	mr-01	25916	1594407188649	1594407188880	231
3	mr-01	25919	1594407188692	1594407189005	313
1	mr-01	25930	1594407188880	1594407189001	121
1	mr-01	25983	1594407189001	1594407189346	345
3	mr-01	25991	1594407189005	1594407189030	25
4	mr-01	26001	1594407189011	1594407189437	426
3	mr-01	26008	1594407189030	1594407189459	429
6	mr-01	26021	1594407189141	1594407189450	309
2	mr-01	26023	1594407189172	1594407189348	176
1	mr-01	26033	1594407189346	1594407189453	107
2	mr-01	26035	1594407189347	1594407189392	45
2	mr-01	26076	1594407189391	1594407189417	26
7	mr-01	26087	1594407189410	1594407189451	41
2	mr-01	26089	1594407189417	1594407189661	244
4	mr-01	26098	1594407189437	1594407189661	224
6	mr-01	26125	1594407189450	1594407189482	32
7	mr-01	26127	1594407189451	1594407189478	27
1	mr-01	26134	1594407189453	1594407189650	197
3	mr-01	26150	1594407189458	1594407189668	210
0	mr-01	26162	1594407189467	1594407189669	202
7	mr-01	26177	1594407189478	1594407189505	27
6	mr-01	26181	1594407189482	1594407189663	181
7	mr-01	26198	1594407189504	1594407189773	269
5	mr-01	26207	1594407189590	1594407189614	24
5	mr-01	26209	1594407189614	1594407189668	54
1	mr-01	26223	1594407189649	1594407189767	118
2	mr-01	26243	1594407189658	1594407189690	32
4	mr-01	26244	1594407189659	1594407189760	101
6	mr-01	26254	1594407189663	1594407189761	98
3	mr-01	26268	1594407189668	1594407189767	99
5	mr-01	26267	1594407189668	1594407189773	105
0	mr-01	26270	1594407189669	1594407189775	106
2	mr-01	26286	1594407189690	1594407189776	86
4	mr-01	26329	1594407189760	1594407189990	230
6	mr-01	26331	1594407189761	1594407189988	227
1	mr-01	26346	1594407189766	1594407189976	210
3	mr-01	26348	1594407189767	1594407189971	204
5	mr-01	26363	1594407189772	1594407189805	33
7	mr-01	26364	1594407189773	1594407190272	499
0	mr-01	26371	1594407189775	1594407190272	497
2	mr-01	26374	1594407189776	1594407190277	501
5	mr-01	26397	1594407189804	1594407190273	469
3	mr-01	26448	1594407189970	1594407190271	301
1	mr-01	26456	1594407189975	1594407190285	310
6	mr-01	26458	1594407189976	1594407190708	732
4	mr-01	26459	1594407189989	1594407190718	729
3	mr-01	26580	1594407190271	1594407190719	448
0	mr-01	26582	1594407190272	1594407190301	29
7	mr-01	26581	1594407190272	1594407190735	463
5	mr-01	26584	1594407190273	1594407190725	452
2	mr-01	26593	1594407190277	1594407190719	442
1	mr-01	26611	1594407190285	1594407190309	24
0	mr-01	26646	1594407190300	1594407190738	438
1	mr-01	26653	1594407190309	1594407190344	35
1	mr-01	26676	1594407190344	1594407190369	25
1	mr-01	26682	1594407190369	1594407190394	25
1	mr-01	26688	1594407190394	1594407190428	34
1	mr-01	26691	1594407190428	1594407190452	24
1	mr-01	26692	1594407190452	1594407190738	286
6	mr-01	26709	1594407190704	1594407190939	235
4	mr-01	26720	1594407190711	1594407190743	32
2	mr-01	26727	1594407190713	1594407190745	32
3	mr-01	26731	1594407190719	1594407190950	231
5	mr-01	26740	1594407190725	1594407190761	36
7	mr-01	26758	1594407190735	1594407190937	202
0	mr-01	26762	1594407190737	1594407190774	37
1	mr-01	26763	1594407190738	1594407190947	209
4	mr-01	26772	1594407190743	1594407190944	201
2	mr-01	26776	1594407190744	1594407190945	201
5	mr-01	26791	1594407190761	1594407190939	178
0	mr-01	26794	1594407190774	1594407190799	25
0	mr-01	26802	1594407190799	1594407190942	143
7	mr-01	26830	1594407190936	1594407191205	269
5	mr-01	26834	1594407190938	1594407191121	183
6	mr-01	26835	1594407190939	1594407190968	29
0	mr-01	26842	1594407190942	1594407191227	285
4	mr-01	26846	1594407190944	1594407190980	36
2	mr-01	26848	1594407190944	1594407191218	274
1	mr-01	26856	1594407190947	1594407191125	178
3	mr-01	26861	1594407190949	1594407191208	259
6	mr-01	26880	1594407190968	1594407191207	239
4	mr-01	26891	1594407190980	1594407191221	241
5	mr-01	26906	1594407191121	1594407191169	48
1	mr-01	26908	1594407191122	1594407191151	29
1	mr-01	26931	1594407191151	1594407191242	91
5	mr-01	26938	1594407191168	1594407191198	30
5	mr-01	26944	1594407191198	1594407191249	51
7	mr-01	26945	1594407191205	1594407191252	47
6	mr-01	26947	1594407191206	1594407191253	47
3	mr-01	26949	1594407191207	1594407191261	54
2	mr-01	26969	1594407191217	1594407191261	44
4	mr-01	26973	1594407191219	1594407191263	44
0	mr-01	26982	1594407191227	1594407191266	39
1	mr-01	27004	1594407191241	1594407191284	43
5	mr-01	27020	1594407191249	1594407191285	36
7	mr-01	27028	1594407191252	1594407191297	45
6	mr-01	27029	1594407191252	1594407191307	55
2	mr-01	27049	1594407191261	1594407191313	52
3	mr-01	27050	1594407191261	1594407191304	43
4	mr-01	27054	1594407191263	1594407191325	62
0	mr-01	27061	1594407191266	1594407191312	46
1	mr-01	27094	1594407191282	1594407191324	42
5	mr-01	27097	1594407191283	1594407191329	46
7	mr-01	27130	1594407191297	1594407191351	54
3	mr-01	27144	1594407191304	1594407191348	44
6	mr-01	27148	1594407191305	1594407191346	41
