jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName
5		7	938	1593793900269	1593793900711	442	29	9	mr-07	2	false	0	true	275	182	138	15	0	29	1610	0	0	0	0	0	0	0	0	0	12890	2	0	2	0	0	0	0576	Disks phase
5		7	937	1593793900269	1593793900566	297	51	11	mr-04	2	false	0	true	142	88	104	23	0	7	1610	0	0	0	0	0	0	0	0	0	2196	2	0	2	0	0	0	0576	Disks phase
5		7	939	1593793900269	1593793900553	284	27	1	mr-11	2	false	0	true	157	106	100	20	0	15	1610	0	0	0	0	0	0	0	0	0	7340	2	0	2	0	0	0	0576	Disks phase
5		7	941	1593793900269	1593793900536	267	39	8	mr-05	2	false	0	true	120	60	108	14	0	0	1567	0	0	0	0	0	0	0	0	0	1406	2	0	2	0	0	0	0576	Disks phase
5		7	940	1593793900269	1593793900647	378	32	3	mr-09	2	false	0	true	235	162	111	24	0	8	1610	0	0	0	0	0	0	0	0	0	5754	2	0	2	0	0	0	0576	Disks phase
5		7	966	1593793900275	1593793900477	202	18	5	mr-10	2	false	0	true	82	36	102	21	0	0	1567	0	0	0	0	0	0	0	0	0	2524	2	0	2	0	0	0	0576	Disks phase
5		7	968	1593793900275	1593793900594	319	25	2	mr-06	2	false	0	true	196	100	98	21	0	8	1610	0	0	0	0	0	0	0	0	0	4770	2	0	2	0	0	0	0576	Disks phase
5		7	967	1593793900275	1593793900608	333	24	7	mr-12	2	false	0	true	207	146	102	73	0	7	1610	0	0	0	0	0	0	0	0	0	4376	2	0	2	0	0	0	0576	Disks phase
5		7	969	1593793900275	1593793900501	226	29	12	mr-02	2	false	0	true	105	65	92	34	0	0	1567	0	0	0	0	0	0	0	0	0	2272	2	0	2	0	0	0	0576	Disks phase
5		7	965	1593793900275	1593793900497	222	25	6	mr-01	2	false	0	true	100	50	97	15	0	0	1567	0	0	0	0	0	0	0	0	0	244	2	0	2	0	0	0	0576	Disks phase
