partitionId	taskId	grid_id	wkt	area	perimeter	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName	epsilon
195	20977	195	POLYGON ((1968366.225 565881.3361, 1968366.225 566514.3444, 1968867.5938 566514.3444, 1968867.5938 565881.3361, 1968366.225 565881.3361))	317370.5983253633	2268.754156250041	12		41	20977	1594773025001	1594773025322	321	7	10	mr-09	0	false	0	true	297	33	17	16	0	185	1010	0	0	0	0	0	0	0	0	260	7582	84	8	76	0	0	0	0627	Disks phase	10.0
427	21209	427	POLYGON ((1964355.2748 562716.2947, 1964355.2748 563032.7988, 1964605.9592 563032.7988, 1964605.9592 562716.2947, 1964355.2748 562716.2947))	79342.64958134083	1134.3770781250205	12		41	21209	1594773025299	1594773025493	194	2	7	mr-02	0	false	0	true	175	52	17	16	0	0	967	0	0	0	0	0	0	0	0	115	15934	174	12	162	0	0	0	0627	Disks phase	10.0
2350	23132	2350	POLYGON ((1967238.1453 536288.1983, 1967238.1453 536446.4503, 1967363.4875 536446.4503, 1967363.4875 536288.1983, 1967238.1453 536288.1983))	19835.66239532791	567.1885390623938	12		41	23132	1594773030517	1594773030799	282	9	3	mr-05	0	false	0	true	258	26	15	14	0	0	967	0	0	0	0	0	0	0	0	225	4512	50	2	48	0	0	0	0627	Disks phase	10.0
1110	21892	1110	POLYGON ((1988671.6607 571261.9067, 1988671.6607 571578.4108, 1988922.3451 571578.4108, 1988922.3451 571261.9067, 1988671.6607 571261.9067))	79342.64958134083	1134.3770781250205	12		41	21892	1594773026475	1594773026625	150	2	4	mr-07	0	false	0	true	136	35	12	11	0	0	967	0	0	0	0	0	0	0	0	100	15774	174	14	160	0	0	0	0627	Disks phase	10.0
3129	23911	3129	POLYGON ((1980399.0758 538345.4752, 1980399.0758 538424.6013, 1980461.7469 538424.6013, 1980461.7469 538345.4752, 1980399.0758 538345.4752))	4958.915598835625	283.59426953131333	12		41	23911	1594773031824	1594773031852	28	5	7	mr-02	0	false	0	true	10	8	13	13	0	0	967	0	0	0	0	0	0	0	0	0	1266	14	0	14	0	0	0	0627	Disks phase	10.0
3348	24130	3348	POLYGON ((1993183.9797 541352.2646, 1993183.9797 541510.5167, 1993309.3219 541510.5167, 1993309.3219 541352.2646, 1993183.9797 541352.2646))	19835.66239532791	567.1885390623938	12		41	24130	1594773032203	1594773032610	407	6	7	mr-02	0	false	0	true	388	27	13	12	0	249	1010	0	0	0	0	0	0	0	0	80	2706	30	4	26	0	0	0	0627	Disks phase	10.0
3023	23805	3023	POLYGON ((1979897.707 542460.0292, 1979897.707 543726.0457, 1980900.4446 543726.0457, 1980900.4446 542460.0292, 1979897.707 542460.0292))	1269482.3933013363	4537.508312499849	12		41	23805	1594773031763	1594773031822	59	20	6	mr-04	0	false	0	true	27	23	12	12	0	0	967	0	0	0	0	0	0	0	0	0	8126	90	4	86	0	0	0	0627	Disks phase	10.0
260	21042	260	POLYGON ((1973881.2816 572844.4274, 1973881.2816 574110.444, 1974884.0192 574110.444, 1974884.0192 572844.4274, 1973881.2816 572844.4274))	1269482.3933013363	4537.508312499849	12		41	21042	1594773025076	1594773025464	388	4	9	mr-06	0	false	0	true	370	33	14	14	0	132	1010	0	0	0	0	0	0	0	0	185	5048	56	4	52	0	0	0	0627	Disks phase	10.0
1889	22671	1889	POLYGON ((1965358.0123 545625.0706, 1965358.0123 546258.0789, 1965859.3811 546258.0789, 1965859.3811 545625.0706, 1965358.0123 545625.0706))	317370.5983253633	2268.754156250041	12		41	22671	1594773029416	1594773029447	31	3	2	mr-12	0	false	0	true	16	14	12	11	0	0	967	0	0	0	0	0	0	0	0	0	3596	40	8	32	0	0	0	0627	Disks phase	10.0
3306	24088	3306	POLYGON ((1991053.1624 540561.0043, 1991053.1624 540719.2563, 1991178.5046 540719.2563, 1991178.5046 540561.0043, 1991053.1624 540561.0043))	19835.66239532791	567.1885390623938	12		41	24088	1594773032168	1594773032333	165	5	1	mr-01	0	false	0	true	148	30	12	11	0	0	967	0	0	0	0	0	0	0	0	105	7296	80	4	76	0	0	0	0627	Disks phase	10.0
