"","appId","taskId","Time.x","P","stageId","Stage","nTasks","Host","Locality","Time.y","rRead","bRead","rWritten","bWritten","rShuffleRead","rShuffleWritten","jobId"
"1","0736",9,1.29,1,6,"count at GeoTesterRDD.scala:101",184,"mr-06:5","PROCESS_LOCAL",1.29,0,0,0,0,0,0,0
"2","0736",6,0.251,2,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.251,0,0,0,0,694,0,0
"3","0736",7,0.249,3,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.249,0,0,0,0,588,0,0
"4","0736",8,0.246,4,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.246,0,0,0,0,508,0,0
"5","0736",74,0.135,5,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.135,0,0,0,0,378,0,0
"6","0736",75,0.128,6,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.128,0,0,0,0,401,0,0
"7","0736",76,0.117,7,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.117,0,0,0,0,384,0,0
"8","0736",67,0.091,8,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.091,0,0,0,0,361,0,0
"9","0736",73,0.09,9,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.09,0,0,0,0,314,0,0
"10","0736",126,0.086,10,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.086,0,0,0,0,1537,0,0
"11","0736",41,0.08,11,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.08,0,0,0,0,616,0,0
"12","0736",57,0.07,12,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.07,0,0,0,0,869,0,0
"13","0736",24,0.065,13,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.065,0,0,0,0,539,0,0
"14","0736",42,0.062,14,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.062,0,0,0,0,355,0,0
"15","0736",95,0.062,15,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.062,0,0,0,0,946,0,0
"16","0736",10,0.061,16,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.061,0,0,0,0,317,0,0
"17","0736",77,0.059,17,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.059,0,0,0,0,193,0,0
"18","0736",15,0.057,18,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.057,0,0,0,0,763,0,0
"19","0736",43,0.056,19,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.056,0,0,0,0,429,0,0
"20","0736",96,0.055,20,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.055,0,0,0,0,719,0,0
"21","0736",16,0.053,21,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.053,0,0,0,0,624,0,0
"22","0736",54,0.053,22,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.053,0,0,0,0,800,0,0
"23","0736",35,0.05,23,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.05,0,0,0,0,632,0,0
"24","0736",109,0.047,24,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.047,0,0,0,0,819,0,0
"25","0736",166,0.047,25,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.047,0,0,0,0,962,0,0
"26","0736",48,0.046,26,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.046,0,0,0,0,460,0,0
"27","0736",72,0.046,27,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.046,0,0,0,0,146,0,0
"28","0736",70,0.045,28,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.045,0,0,0,0,138,0,0
"29","0736",12,0.044,29,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.044,0,0,0,0,244,0,0
"30","0736",13,0.044,30,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.044,0,0,0,0,356,0,0
"31","0736",120,0.044,31,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.044,0,0,0,0,330,0,0
"32","0736",131,0.044,32,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.044,0,0,0,0,728,0,0
"33","0736",146,0.044,33,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.044,0,0,0,0,742,0,0
"34","0736",52,0.043,34,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.043,0,0,0,0,391,0,0
"35","0736",36,0.042,35,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.042,0,0,0,0,589,0,0
"36","0736",49,0.041,36,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.041,0,0,0,0,428,0,0
"37","0736",106,0.041,37,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.041,0,0,0,0,360,0,0
"38","0736",14,0.04,38,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.04,0,0,0,0,325,0,0
"39","0736",11,0.039,39,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.039,0,0,0,0,101,0,0
"40","0736",45,0.039,40,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.039,0,0,0,0,250,0,0
"41","0736",78,0.039,41,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.039,0,0,0,0,86,0,0
"42","0736",133,0.039,42,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.039,0,0,0,0,661,0,0
"43","0736",40,0.038,43,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.038,0,0,0,0,367,0,0
"44","0736",44,0.038,44,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.038,0,0,0,0,139,0,0
"45","0736",55,0.038,45,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.038,0,0,0,0,469,0,0
"46","0736",56,0.038,46,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.038,0,0,0,0,523,0,0
"47","0736",111,0.038,47,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.038,0,0,0,0,548,0,0
"48","0736",165,0.038,48,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.038,0,0,0,0,393,0,0
"49","0736",28,0.037,49,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.037,0,0,0,0,306,0,0
"50","0736",87,0.037,50,6,"count at GeoTesterRDD.scala:101",184,"mr-11:4","NODE_LOCAL",0.037,0,0,0,0,623,0,0
"51","0815",6,1.638,1,6,"count at GeoTesterRDD.scala:101",160,"mr-11:10","NODE_LOCAL",1.638,0,0,0,0,694,0,0
"52","0815",8,1.572,2,6,"count at GeoTesterRDD.scala:101",160,"mr-11:10","NODE_LOCAL",1.572,0,0,0,0,508,0,0
"53","0815",10,1.477,3,6,"count at GeoTesterRDD.scala:101",160,"mr-11:10","NODE_LOCAL",1.477,0,0,0,0,101,0,0
"54","0815",12,1.247,4,6,"count at GeoTesterRDD.scala:101",160,"mr-08:18","PROCESS_LOCAL",1.247,0,0,0,0,0,0,0
"55","0815",9,0.351,5,6,"count at GeoTesterRDD.scala:101",160,"mr-11:14","NODE_LOCAL",0.351,0,0,0,0,317,0,0
"56","0815",7,0.349,6,6,"count at GeoTesterRDD.scala:101",160,"mr-11:14","NODE_LOCAL",0.349,0,0,0,0,588,0,0
"57","0815",11,0.247,7,6,"count at GeoTesterRDD.scala:101",160,"mr-11:14","NODE_LOCAL",0.247,0,0,0,0,244,0,0
"58","0815",109,0.166,8,6,"count at GeoTesterRDD.scala:101",160,"mr-11:10","NODE_LOCAL",0.166,0,0,0,0,1380,0,0
"59","0815",65,0.149,9,6,"count at GeoTesterRDD.scala:101",160,"mr-11:14","NODE_LOCAL",0.149,0,0,0,0,378,0,0
"60","0815",66,0.141,10,6,"count at GeoTesterRDD.scala:101",160,"mr-11:14","NODE_LOCAL",0.141,0,0,0,0,401,0,0
"61","0815",93,0.134,11,6,"count at GeoTesterRDD.scala:101",160,"mr-11:10","NODE_LOCAL",0.134,0,0,0,0,575,0,0
"62","0815",103,0.123,12,6,"count at GeoTesterRDD.scala:101",160,"mr-11:10","NODE_LOCAL",0.123,0,0,0,0,380,0,0
"63","0815",67,0.118,13,6,"count at GeoTesterRDD.scala:101",160,"mr-11:14","NODE_LOCAL",0.118,0,0,0,0,384,0,0
"64","0815",13,0.117,14,6,"count at GeoTesterRDD.scala:101",160,"mr-11:14","NODE_LOCAL",0.117,0,0,0,0,356,0,0
"65","0815",58,0.107,15,6,"count at GeoTesterRDD.scala:101",160,"mr-11:14","NODE_LOCAL",0.107,0,0,0,0,361,0,0
"66","0815",107,0.104,16,6,"count at GeoTesterRDD.scala:101",160,"mr-11:10","NODE_LOCAL",0.104,0,0,0,0,314,0,0
"67","0815",64,0.103,17,6,"count at GeoTesterRDD.scala:101",160,"mr-11:14","NODE_LOCAL",0.103,0,0,0,0,314,0,0
"68","0815",104,0.095,18,6,"count at GeoTesterRDD.scala:101",160,"mr-11:14","NODE_LOCAL",0.095,0,0,0,0,1195,0,0
"69","0815",138,0.091,19,6,"count at GeoTesterRDD.scala:101",160,"mr-11:10","NODE_LOCAL",0.091,0,0,0,0,707,0,0
