2018-04-26 10:03:07,593 -> Iteration Epsilon=30, Mu=4 and Delta=4 has started...
0, 3, 1696 5381 6563 16706
0, 3, 6027 10195 13885 16727
0, 3, 6257 9497 12342 14227
0, 3, 3638 6257 12342 14227
0, 3, 1610 12560 14165 18344
0, 3, 9170 9898 11163 12643
0, 3, 8896 13782 15282 18199
0, 3, 102 7006 8740 14556
0, 3, 7446 10461 16256 17419
0, 3, 7446 14980 16256 17419
0, 3, 8917 10461 16256 17419
0, 3, 5674 7619 12270 12869
0, 3, 3675 4656 10501 10984
0, 3, 15529 15642 16060 16066
0, 3, 2109 6736 10499 14335 17191
0, 3, 1587 2151 2874 18967
0, 3, 3015 3796 5453 13420
0, 3, 3620 5750 8219 8609 18063 18265
0, 3, 3620 5750 8219 16463
0, 3, 9028 12085 14638 16219
0, 3, 3620 5750 6703 18265
0, 3, 3620 5750 6703 16463
0, 3, 3620 5750 8134 8609 18063 18265
0, 3, 3062 13551 15908 18028
0, 3, 3062 3216 15908 18028
0, 3, 1187 3525 5281 8667 15606
0, 3, 2069 7288 10553 13112 13493
0, 3, 8051 9581 12991 13475
0, 3, 7903 8090 10967 13296
0, 3, 7903 8090 11380 13296
0, 3, 11179 12500 13716 15034
0, 3, 4897 5844 11179 12500 13716
0, 3, 9637 11845 13716 15034
0, 3, 5019 5844 11845 13716 15034
0, 3, 9658 10752 11154 12906 15306
0, 3, 4268 4563 9897 11112 13891 19309
0, 3, 1851 4105 10883 18354
0, 3, 142 1204 2778 9945
0, 3, 8529 13541 18012 18518
0, 3, 3962 4404 4676 12378
0, 3, 3054 4404 4676 12378
0, 3, 6525 12512 12835 14044
0, 3, 3223 4684 12512 12835 14044
0, 3, 1646 6364 7062 12245
0, 3, 1646 7062 12245 13504
0, 3, 974 4335 12287 18637
0, 3, 4335 7038 12287 18637
0, 3, 10319 12211 14529 16605
0, 3, 2360 9829 10822 17039
0, 3, 1575 7520 9310 11714
0, 3, 3272 14434 15363 17046
0, 3, 1890 6414 12845 13016
0, 3, 2948 5240 6554 17094
0, 3, 6152 9274 17783 18836
0, 3, 8484 14952 17024 17961
