1.0.Maximal disks found                             | 41.99| 13298|1
1.1.Maximal disks found                             | 37.19| 13446|1
1.2.Maximal disks found                             | 36.88| 13744|1
1.3.Maximal disks found                             | 42.63| 13992|1
1.4.Maximal disks found                             | 42.84| 13988|1
1.5.Maximal disks found                             | 41.61| 14026|1
2.1.Join done                                       |  6.69| 42916|1
2.2.Join done                                       | 24.62| 88166|1
2.3.Join done                                       | 16.88| 82286|1
2.4.Join done                                       | 17.69| 84716|1
2.5.Join done                                       | 22.45| 91424|1
3.1.Flocks to report                                |  0.72|     0|1
3.2.Flocks to report                                |  3.18| 75440|1
3.3.Flocks to report                                |  3.08| 69930|1
3.4.Flocks to report                                |  3.65| 67594|1
3.5.Flocks to report                                |  4.26| 79972|1
4.1.Flocks prunned by expansion                     | 17.28| 13236|1
4.2.Flocks prunned by expansion                     | 40.80| 13432|1
4.3.Flocks prunned by expansion                     | 46.77| 13674|1
4.4.Flocks prunned by expansion                     | 52.99| 13908|1
4.5.Flocks prunned by expansion                     | 59.36| 13982|1
5.1.Flocks reported                                 |  0.47| 13236|1
5.2.Flocks reported                                 |  0.58| 13432|1
5.3.Flocks reported                                 |  0.71| 13674|1
5.4.Flocks reported                                 |  0.90| 13908|1
5.5.Flocks reported                                 |  1.07| 13982|1
6.1.Candidates indexed                              |  9.77| 44120|1
6.2.Candidates indexed                              |  5.99| 26082|1
6.3.Candidates indexed                              |  6.31| 26170|1
6.4.Candidates indexed                              |  7.93| 30458|1
6.5.Candidates indexed                              |  6.65| 25288|1
