method	stage	epsilon	time
BFE	Candidates	3.0	0.0033633915
BFE	Candidates	4.0	0.023153892500000006
BFE	Candidates	5.0	0.025593973999999988
BFE	Centers	3.0	0.054693233000000015
BFE	Centers	4.0	0.06688062250000001
BFE	Centers	5.0	0.056509124499999994
BFE	Cliques	3.0	0.0
BFE	Cliques	4.0	0.0
BFE	Cliques	5.0	0.0
BFE	Grid	3.0	0.016837952500000003
BFE	Grid	4.0	0.0175039085
BFE	Grid	5.0	0.018130828
BFE	Maximals	3.0	0.1399094485
BFE	Maximals	4.0	0.19639549899999997
BFE	Maximals	5.0	0.2624567705000001
BFE	Pairs	3.0	0.05688109650000002
BFE	Pairs	4.0	0.018703520499999973
BFE	Pairs	5.0	0.020210471000000004
BFE	Read	3.0	0.010452929499999998
BFE	Read	4.0	0.010514650999999998
BFE	Read	5.0	0.009793006000000007
BFE	Total	3.0	0.28213805150000004
BFE	Total	4.0	0.33315209399999995
BFE	Total	5.0	0.39269417400000006
BFE_LCM	Candidates	3.0	0.0
BFE_LCM	Candidates	4.0	0.0
BFE_LCM	Candidates	5.0	0.0
BFE_LCM	Centers	3.0	0.015492003999999998
BFE_LCM	Centers	4.0	0.027419565500000007
BFE_LCM	Centers	5.0	0.028608946999999996
BFE_LCM	Cliques	3.0	0.0
BFE_LCM	Cliques	4.0	0.0
BFE_LCM	Cliques	5.0	0.0
BFE_LCM	Grid	3.0	0.00264754
BFE_LCM	Grid	4.0	0.002353827
BFE_LCM	Grid	5.0	0.0019905310000000002
BFE_LCM	Maximals	3.0	0.21970457399999999
BFE_LCM	Maximals	4.0	0.370875439
BFE_LCM	Maximals	5.0	0.4981535195
BFE_LCM	Pairs	3.0	0.008187333000000001
BFE_LCM	Pairs	4.0	0.011642196000000004
BFE_LCM	Pairs	5.0	0.0090907675
BFE_LCM	Read	3.0	0.0057830785
BFE_LCM	Read	4.0	0.006596360999999995
BFE_LCM	Read	5.0	0.005436086000000001
BFE_LCM	Total	3.0	0.2518145295
BFE_LCM	Total	4.0	0.41888738850000007
BFE_LCM	Total	5.0	0.5432798510000001
