field_2,n,area,density
"69",111,5072547.73152649,2.18824949265872e-05
"365",96,5072547.678882,1.89254012140027e-05
"138",106,5072547.47844815,2.08967979994992e-05
"101",46,1268136.91972059,3.62736856601693e-05
"479",205,5072547.47844815,4.04136187726164e-05
"347",114,5072547.47844815,2.24739148296501e-05
"333",41,1268137.04625958,3.23308905145e-05
"249",188,1268136.91972035,0.000148248976176372
"468",37,1268137.04625988,2.91766572935663e-05
"234",103,5072547.47844803,2.03053791881931e-05
"0",105,5072547.47844815,2.06996583957303e-05
"88",239,1268136.9460429,0.000188465449844181
"481",39,1268137.04625982,3.07537739040308e-05
"352",183,5072547.6788826,3.60765460641884e-05
"408",48,1268136.91972065,3.78508024280009e-05
"170",15,1268136.91972041,1.18283757587525e-05
"115",75,5072547.47844863,1.47854702826631e-05
"217",90,5072547.47844815,1.77425643391974e-05
"276",104,5072547.73152649,2.05025177690547e-05
"308",173,5072547.73152649,3.41051497504467e-05
"5",64,1268136.91972071,5.04677365706655e-05
"449",49,1268136.91972065,3.86393608119176e-05
"120",136,5072547.67888248,2.6810985053168e-05
"247",70,1268136.91972065,5.5199086874168e-05
"379",135,1268136.94604272,0.000106455379619113
"440",139,317034.261565,0.000438438417708685
"269",27,1268136.91972059,2.12910763657515e-05
"202",146,5072547.73152649,2.87823807142499e-05
"10",9,5072547.93196023,1.77425627529202e-06
"385",99,5072547.67888248,1.95168200019384e-05
"384",124,5072547.93196034,2.44453086818006e-05
"56",114,5072547.93196082,2.2473912820363e-05
"142",156,1268136.91972059,0.000123015107891009
"472",87,1268136.91972053,6.86045794007581e-05
"340",145,5072547.73152691,2.85852411203143e-05
"153",123,5072547.93196094,2.42481690956542e-05
"174",96,4953.65543363243,0.0193796280920582
"404",28,1268137.04625976,2.20796325464847e-05
"185",68,4953.66169719025,0.01372721920808
"42",217,5072547.93196094,4.27792901931461e-05
"417",194,5072547.67888272,3.82450816199584e-05
"24",103,1268136.91972065,8.12215135434187e-05
"288",189,5072547.47844815,3.72593851123146e-05
"301",30,1268136.91972071,2.36567515174995e-05
"320",75,317034.198295355,0.00023656753878056
"436",67,1268136.94604287,5.28334106257758e-05
