tinstance	cellId	method	epsilon	time	n
320	0	BFE	10	0.00464842478	0
320	0	BFE	12	0.00469262502	0
320	0	BFE	14	0.0072289341600000005	3
320	0	BFE	16	0.00783836724	3
320	0	BFE	18	0.00753395152	5
320	0	BFE	20	0.00735252792	5
320	0	PSI	10	0.0015417886400000001	0
320	0	PSI	12	0.0013937112	0
320	0	PSI	14	0.00186615402	3
320	0	PSI	16	0.00210616418	3
320	0	PSI	18	0.0023976822599999998	5
320	0	PSI	20	0.00237887438	5
320	1	BFE	10	0.00341557104	0
320	1	BFE	12	0.00335549858	0
320	1	BFE	14	0.00339652862	0
320	1	BFE	16	0.0032949845400000004	0
320	1	BFE	18	0.003404968	0
320	1	BFE	20	0.00359813966	0
320	1	PSI	10	6.2114352e-4	0
320	1	PSI	12	6.0991488e-4	0
320	1	PSI	14	6.4489168e-4	0
320	1	PSI	16	6.3075522e-4	0
320	1	PSI	18	6.941073e-4	0
320	1	PSI	20	8.534038799999999e-4	0
320	2	BFE	10	0.004103428439999999	0
320	2	BFE	12	0.00337622156	0
320	2	BFE	14	0.0033937630600000004	0
320	2	BFE	16	0.00356169968	0
320	2	BFE	18	0.0056379017	3
320	2	BFE	20	0.00578335164	3
320	2	PSI	10	0.0010255218800000001	0
320	2	PSI	12	7.435551e-4	0
320	2	PSI	14	7.4137458e-4	0
320	2	PSI	16	0.0011196225399999998	0
320	2	PSI	18	0.00105379954	3
320	2	PSI	20	0.0010282696	3
320	3	BFE	10	0.00946359386	25
320	3	BFE	12	0.01051264036	35
320	3	BFE	14	0.011147091699999999	45
320	3	BFE	16	0.011315324540000001	48
320	3	BFE	18	0.013306010200000001	67
320	3	BFE	20	0.013935700579999998	84
320	3	PSI	10	0.0044165137	25
320	3	PSI	12	0.00433112348	35
320	3	PSI	14	0.0047187157600000005	45
320	3	PSI	16	0.0049435392	48
320	3	PSI	18	0.0057809933000000004	67
320	3	PSI	20	0.0062132432	84
320	4	BFE	10	0.0069973476	6
320	4	BFE	12	0.0076336482600000005	9
320	4	BFE	14	0.0074247416	14
320	4	BFE	16	0.0074865331000000005	16
320	4	BFE	18	0.008331187600000001	19
320	4	BFE	20	0.00846749794	20
320	4	PSI	10	0.00199382938	6
320	4	PSI	12	0.00242632656	9
320	4	PSI	14	0.0025124045	14
320	4	PSI	16	0.00261567916	16
320	4	PSI	18	0.00308658244	19
320	4	PSI	20	0.00298785848	20
320	5	BFE	10	0.0038954239599999995	0
320	5	BFE	12	0.00461365432	0
320	5	BFE	14	0.0038685602800000002	0
320	5	BFE	16	0.00628119016	3
320	5	BFE	18	0.00639758118	3
320	5	BFE	20	0.00671153704	3
320	5	PSI	10	9.8238718e-4	0
320	5	PSI	12	0.00128502474	0
320	5	PSI	14	0.00114820706	0
320	5	PSI	16	0.0014227512	3
320	5	PSI	18	0.00151288142	3
320	5	PSI	20	0.0015684832400000002	3
320	6	BFE	10	0.00812614288	11
320	6	BFE	12	0.00847798818	18
320	6	BFE	14	0.00984088552	27
320	6	BFE	16	0.0109906607	31
320	6	BFE	18	0.01096238714	40
320	6	BFE	20	0.01195227892	44
320	6	PSI	10	0.00312827014	11
320	6	PSI	12	0.00339805434	18
320	6	PSI	14	0.00368624642	27
320	6	PSI	16	0.00440156856	31
320	6	PSI	18	0.00431795426	40
320	6	PSI	20	0.0046962793	44
320	7	BFE	10	0.00501490006	0
320	7	BFE	12	0.007276748920000001	3
320	7	BFE	14	0.00760921098	9
320	7	BFE	16	0.00806338148	12
320	7	BFE	18	0.00803543398	15
320	7	BFE	20	0.00830704506	18
320	7	PSI	10	0.00187257246	0
320	7	PSI	12	0.00204634404	3
320	7	PSI	14	0.0025919151800000003	9
320	7	PSI	16	0.00283764184	12
320	7	PSI	18	0.00306697746	15
320	7	PSI	20	0.0032484841800000004	18
320	8	BFE	10	0.0029469622	0
320	8	BFE	12	0.0032752680799999997	0
320	8	BFE	14	0.00294187262	0
320	8	BFE	16	0.00302591564	0
320	8	BFE	18	0.0029908228799999997	0
320	8	BFE	20	0.0030624827199999998	0
320	8	PSI	10	3.903314e-4	0
320	8	PSI	12	3.9222966e-4	0
320	8	PSI	14	4.1739454000000003e-4	0
320	8	PSI	16	4.0838762000000003e-4	0
320	8	PSI	18	4.059954e-4	0
320	8	PSI	20	4.0443114e-4	0
320	9	BFE	10	0.00312132798	0
320	9	BFE	12	0.0031211118	0
320	9	BFE	14	0.00328986146	0
320	9	BFE	16	0.00579939344	3
320	9	BFE	18	0.00587095246	3
320	9	BFE	20	0.00818912138	6
320	9	PSI	10	5.221062999999999e-4	0
320	9	PSI	12	5.741492e-4	0
320	9	PSI	14	7.5843486e-4	0
320	9	PSI	16	0.00100528328	3
320	9	PSI	18	0.00110522134	3
320	9	PSI	20	0.00187544358	6
320	10	BFE	10	0.00712912208	8
320	10	BFE	12	0.007487499199999999	14
320	10	BFE	14	0.00762687256	14
320	10	BFE	16	0.0078060004399999995	17
320	10	BFE	18	0.00953294734	23
320	10	BFE	20	0.00982901988	34
320	10	PSI	10	0.00230531448	8
320	10	PSI	12	0.00267496382	14
320	10	PSI	14	0.0027613571799999996	14
320	10	PSI	16	0.0032331186200000002	17
320	10	PSI	18	0.00352897976	23
320	10	PSI	20	0.00366059722	34
320	11	BFE	10	0.004141391980000001	0
320	11	BFE	12	0.006660924560000001	3
320	11	BFE	14	0.00637393948	3
320	11	BFE	16	0.006424278899999999	3
320	11	BFE	18	0.0067194334	6
320	11	BFE	20	0.0068210547400000005	8
320	11	PSI	10	0.0012639037800000002	0
320	11	PSI	12	0.00165887324	3
320	11	PSI	14	0.0015988262400000001	3
320	11	PSI	16	0.0015935173000000001	3
320	11	PSI	18	0.0019402955599999998	6
320	11	PSI	20	0.0020682443	8
320	12	BFE	10	0.004442965639999999	0
320	12	BFE	12	0.0049693046	0
320	12	BFE	14	0.004464008060000001	0
320	12	BFE	16	0.00444382076	0
320	12	BFE	18	0.00854292046	3
320	12	BFE	20	0.00669091158	3
320	12	PSI	10	0.00136791012	0
320	12	PSI	12	0.0015693738999999999	0
320	12	PSI	14	0.00129006602	0
320	12	PSI	16	0.0012997026800000001	0
320	12	PSI	18	0.00174693626	3
320	12	PSI	20	0.0016694735000000003	3
320	13	BFE	10	0.00782298132	5
320	13	BFE	12	0.00902980986	9
320	13	BFE	14	0.008858609739999999	9
320	13	BFE	16	0.00907915426	16
320	13	BFE	18	0.01022748642	23
320	13	BFE	20	0.01123244712	36
320	13	PSI	10	0.0024364641399999996	5
320	13	PSI	12	0.0027075429800000003	9
320	13	PSI	14	0.0032354795	9
320	13	PSI	16	0.0031828578600000003	16
320	13	PSI	18	0.004452557479999999	23
320	13	PSI	20	0.004225002360000001	36
320	14	BFE	10	0.00411289964	0
320	14	BFE	12	0.00456095688	0
320	14	BFE	14	0.00772495222	3
320	14	BFE	16	0.00673356456	3
320	14	BFE	18	0.007448207899999999	13
320	14	BFE	20	0.008021913799999999	15
320	14	PSI	10	0.00107918596	0
320	14	PSI	12	0.00139690174	0
320	14	PSI	14	0.00164752884	3
320	14	PSI	16	0.0017670301	3
320	14	PSI	18	0.00243845408	13
320	14	PSI	20	0.00286001598	15
320	15	BFE	10	0.00369574398	0
320	15	BFE	12	0.0036919496	0
320	15	BFE	14	0.00444855356	0
320	15	BFE	16	0.00378646312	0
320	15	BFE	18	0.0038958667199999997	0
320	15	BFE	20	0.00631170994	2
320	15	PSI	10	8.2018188e-4	0
320	15	PSI	12	9.8949472e-4	0
320	15	PSI	14	9.4458082e-4	0
320	15	PSI	16	0.0010117448399999999	0
320	15	PSI	18	0.00103489684	0
320	15	PSI	20	0.00118277032	2
320	16	BFE	10	0.006315948460000001	6
320	16	BFE	12	0.007091657779999999	15
320	16	BFE	14	0.007192798339999999	16
320	16	BFE	16	0.00824591452	24
320	16	BFE	18	0.00806416212	27
320	16	BFE	20	0.00965353252	34
320	16	PSI	10	0.0018089522399999999	6
320	16	PSI	12	0.0022967708	15
320	16	PSI	14	0.00246934926	16
320	16	PSI	16	0.00293966794	24
320	16	PSI	18	0.00350308474	27
320	16	PSI	20	0.00396349318	34
320	17	BFE	10	0.00710677458	6
320	17	BFE	12	0.007134221960000001	9
320	17	BFE	14	0.00798454898	13
320	17	BFE	16	0.0079049699	19
320	17	BFE	18	0.008575877360000001	29
320	17	BFE	20	0.010122342619999999	38
320	17	PSI	10	0.0019932115	6
320	17	PSI	12	0.00210003224	9
320	17	PSI	14	0.00260517202	13
320	17	PSI	16	0.0031627854800000002	19
320	17	PSI	18	0.00353305254	29
320	17	PSI	20	0.004286500980000001	38
320	18	BFE	10	0.00378413586	0
320	18	BFE	12	0.00380373648	0
320	18	BFE	14	0.00401200794	0
320	18	BFE	16	0.00404615602	0
320	18	BFE	18	0.00668559656	3
320	18	BFE	20	0.006622932319999999	6
320	18	PSI	10	9.670011799999999e-4	0
320	18	PSI	12	0.0010845586	0
320	18	PSI	14	0.00117858522	0
320	18	PSI	16	0.0011660972799999998	0
320	18	PSI	18	0.0017314479599999997	3
320	18	PSI	20	0.00187375696	6
320	19	BFE	10	0.0030061435399999998	0
320	19	BFE	12	0.00296240018	0
320	19	BFE	14	0.00304592582	0
320	19	BFE	16	0.00298400656	0
320	19	BFE	18	0.002884956	0
320	19	BFE	20	0.0030468419600000003	0
320	19	PSI	10	4.1259482e-4	0
320	19	PSI	12	4.0994485999999996e-4	0
320	19	PSI	14	4.3039152e-4	0
320	19	PSI	16	4.0088779999999995e-4	0
320	19	PSI	18	4.0460488000000004e-4	0
320	19	PSI	20	3.9346490000000003e-4	0
320	20	BFE	10	0.0036471115200000003	0
320	20	BFE	12	0.0034341729	0
320	20	BFE	14	0.00348203652	0
320	20	BFE	16	0.00363666756	0
320	20	BFE	18	0.00342347356	0
320	20	BFE	20	0.00356001024	0
320	20	PSI	10	6.8895062e-4	0
320	20	PSI	12	6.5986644e-4	0
320	20	PSI	14	6.6384132e-4	0
320	20	PSI	16	6.9797288e-4	0
320	20	PSI	18	6.884160599999999e-4	0
320	20	PSI	20	6.8811352e-4	0
320	21	BFE	10	0.00380388994	0
320	21	BFE	12	0.0035589478	0
320	21	BFE	14	0.0035009892	0
320	21	BFE	16	0.0035809350599999997	0
320	21	BFE	18	0.0034761803000000003	0
320	21	BFE	20	0.00357810296	0
320	21	PSI	10	8.214348200000001e-4	0
320	21	PSI	12	7.450430200000001e-4	0
320	21	PSI	14	7.394633800000001e-4	0
320	21	PSI	16	7.713722000000001e-4	0
320	21	PSI	18	7.869572e-4	0
320	21	PSI	20	7.478691e-4	0
320	22	BFE	10	0.0036077721	0
320	22	BFE	12	0.0035631783799999995	0
320	22	BFE	14	0.0038491063399999997	0
320	22	BFE	16	0.0036133811	0
320	22	BFE	18	0.0036995191000000005	0
320	22	BFE	20	0.0036976757200000003	0
320	22	PSI	10	6.824223e-4	0
320	22	PSI	12	6.9699854e-4	0
320	22	PSI	14	8.4500532e-4	0
320	22	PSI	16	9.015651199999999e-4	0
320	22	PSI	18	8.633946200000001e-4	0
320	22	PSI	20	8.7888072e-4	0
320	23	BFE	10	0.00399696234	0
320	23	BFE	12	0.0038750567399999996	0
320	23	BFE	14	0.00516753114	0
320	23	BFE	16	0.00387669062	0
320	23	BFE	18	0.00394316034	0
320	23	BFE	20	0.0070972911	3
320	23	PSI	10	9.8640436e-4	0
320	23	PSI	12	0.0010174179199999999	0
320	23	PSI	14	0.00103474372	0
320	23	PSI	16	0.00117079466	0
320	23	PSI	18	0.00120962606	0
320	23	PSI	20	0.00183338774	3
320	24	BFE	10	0.00959829442	11
320	24	BFE	12	0.009440609039999999	18
320	24	BFE	14	0.01037318624	31
320	24	BFE	16	0.01141525348	41
320	24	BFE	18	0.012427760579999999	49
320	24	BFE	20	0.013770099820000001	54
320	24	PSI	10	0.002907171	11
320	24	PSI	12	0.00343535774	18
320	24	PSI	14	0.00415765388	31
320	24	PSI	16	0.00454245648	41
320	24	PSI	18	0.00523892964	49
320	24	PSI	20	0.00562293696	54
320	25	BFE	10	0.0036725359	0
320	25	BFE	12	0.006184610179999999	0
320	25	BFE	14	0.00377551782	0
320	25	BFE	16	0.00626841008	3
320	25	BFE	18	0.00844129604	3
320	25	BFE	20	0.0061834466	3
320	25	PSI	10	8.9119306e-4	0
320	25	PSI	12	8.844565e-4	0
320	25	PSI	14	0.00107819736	0
320	25	PSI	16	0.00139319806	3
320	25	PSI	18	0.00161397536	3
320	25	PSI	20	0.00137062874	3
320	26	BFE	10	0.00738485234	3
320	26	BFE	12	0.006165332680000001	3
320	26	BFE	14	0.0062548416800000005	3
320	26	BFE	16	0.0066047866600000005	4
320	26	BFE	18	0.0064015240000000004	4
320	26	BFE	20	0.006489197600000001	6
320	26	PSI	10	0.0013241731199999998	3
320	26	PSI	12	0.00130831488	3
320	26	PSI	14	0.0013788403799999999	3
320	26	PSI	16	0.00138759432	4
320	26	PSI	18	0.00143342346	4
320	26	PSI	20	0.0018721147800000002	6
320	27	BFE	10	0.00356847568	0
320	27	BFE	12	0.0036701039599999997	0
320	27	BFE	14	0.0035363262399999997	0
320	27	BFE	16	0.0034748465	0
320	27	BFE	18	0.00354925984	0
320	27	BFE	20	0.00371440898	0
320	27	PSI	10	7.174054e-4	0
320	27	PSI	12	7.5147876e-4	0
320	27	PSI	14	7.3340604e-4	0
320	27	PSI	16	7.7522466e-4	0
320	27	PSI	18	7.5611374e-4	0
320	27	PSI	20	7.410368399999999e-4	0
320	28	BFE	10	0.00354699422	0
320	28	BFE	12	0.0034955149	0
320	28	BFE	14	0.00350404942	0
320	28	BFE	16	0.00350858396	0
320	28	BFE	18	0.00352529724	0
320	28	BFE	20	0.0036521632599999998	0
320	28	PSI	10	7.0954236e-4	0
320	28	PSI	12	7.132923799999999e-4	0
320	28	PSI	14	7.2076644e-4	0
320	28	PSI	16	7.0018526e-4	0
320	28	PSI	18	7.060849e-4	0
320	28	PSI	20	9.0973024e-4	0
320	29	BFE	10	0.00311443082	0
320	29	BFE	12	0.0031671678	0
320	29	BFE	14	0.0031055614800000004	0
320	29	BFE	16	0.0035635645	0
320	29	BFE	18	0.0031636580800000003	0
320	29	BFE	20	0.0031224888	0
320	29	PSI	10	5.622973e-4	0
320	29	PSI	12	5.695096799999999e-4	0
320	29	PSI	14	5.527981e-4	0
320	29	PSI	16	6.566799e-4	0
320	29	PSI	18	5.867671600000001e-4	0
320	29	PSI	20	5.7959834e-4	0
320	30	BFE	10	0.01971624404	175
320	30	BFE	12	0.02140586404	208
320	30	BFE	14	0.0226256788	250
320	30	BFE	16	0.025110514280000003	303
320	30	BFE	18	0.027900475279999996	358
320	30	BFE	20	0.028414972559999994	403
320	30	PSI	10	0.00776364112	175
320	30	PSI	12	0.00838556202	208
320	30	PSI	14	0.0090298747	250
320	30	PSI	16	0.010184208560000001	303
320	30	PSI	18	0.01096649366	358
320	30	PSI	20	0.011386380719999999	403
320	31	BFE	10	0.0031609664400000003	0
320	31	BFE	12	0.0031391679	0
320	31	BFE	14	0.00384418444	0
320	31	BFE	16	0.0031823076200000002	0
320	31	BFE	18	0.00316673892	0
320	31	BFE	20	0.00586439984	3
320	31	PSI	10	5.927751399999999e-4	0
320	31	PSI	12	6.281923800000001e-4	0
320	31	PSI	14	6.674095400000001e-4	0
320	31	PSI	16	5.8745686e-4	0
320	31	PSI	18	6.0647964e-4	0
320	31	PSI	20	0.00106549178	3
320	32	BFE	10	0.00457210978	0
320	32	BFE	12	0.007018215999999999	3
320	32	BFE	14	0.0072761336600000006	5
320	32	BFE	16	0.007397523760000001	5
320	32	BFE	18	0.007507830039999999	8
320	32	BFE	20	0.00785556036	8
320	32	PSI	10	0.0015186929	0
320	32	PSI	12	0.0017757960200000002	3
320	32	PSI	14	0.00223715204	5
320	32	PSI	16	0.0022237524	5
